.	0	3	7	16	23	28	34
.	0	1	22324	397741	502579	1478543	12126410
.	1	3	7	16	23	28	34
.	1	1	22921	375634	490549	1390988	12127058
.	2	3	7	16	23	28	34
.	2	1	22966	349255	466654	1304891	12126729
.	3	3	7	16	23	28	34	38
.	3	1	20393	328033	383405	725463	1666382	12126729
.	4	3	7	16	23	28	34	38
.	4	1	18223	310624	364615	697378	1609979	12118655
.	5	3	7	16	23	28	34	38
.	5	1	46569	309532	378568	706671	1648674	12109924
.	6	3	7	16	23	28	34	38
.	6	1	45110	337014	406727	749223	1704742	12100186
.	7	3	7	16	23	28	34	38
.	7	1	39268	313386	377679	712153	1654800	12092367
.	8	3	7	16	23	28	34	38
.	8	1	44110	337757	408052	755840	1713088	12079741
.	9	3	7	16	23	28	34	38
.	9	1	35839	314926	377878	711157	1647664	12073135
.	10	3	7	16	23	28	34	38
.	10	1	32739	295713	357499	680193	1589051	12066654
.	11	3	7	16	23	28	34	38
.	11	1	33719	300665	364329	682301	1589399	12060505
.	12	3	7	16	23	28	34	38
.	12	1	49074	361198	442813	813720	1820415	12054220
.	13	3	7	16	23	28	34	38	41
.	13	1	49330	365745	446012	821434	1802396	4760449	12047824
.	14	3	7	16	23	28	34	38	41
.	14	1	41624	333760	409022	765406	1722906	4715795	12042456
.	15	3	7	16	23	28	34	38	41
.	15	1	48113	354702	435970	803075	1772007	4789149	12035729
.	16	3	7	16	23	28	34	38	41
.	16	1	45110	326789	404163	752680	1705915	4730208	12028970
.	17	3	7	16	23	28	34	38	41
.	17	1	40294	308949	388211	731581	1675401	4661117	12022254
.	18	3	7	16	23	28	34	38	41
.	18	1	43748	307495	389504	724207	1653387	4505851	12014901
.	19	3	7	16	23	28	34	38	41
.	19	1	50332	319329	407320	744743	1679389	4545195	12007976
.	20	3	7	16	23	28	34	38	41
.	20	1	48816	312192	404905	742747	1695482	4593827	12000817
.	21	3	7	16	23	28	34	38	41
.	21	1	49257	300615	397243	731843	1691099	4630415	11993449
.	22	3	7	16	23	28	34	38	41
.	22	1	51318	291114	391789	717688	1675052	4653385	11985382
.	23	3	7	16	23	28	34	38	41
.	23	1	60589	304070	414023	741802	1702560	4695811	11975324
.	24	3	7	16	23	28	34	38	41
.	24	1	57597	284861	395993	715480	1673330	4681441	11966823
.	25	3	7	16	23	28	34	38	41
.	25	1	70974	306605	429535	756499	1734082	4748282	11957812
.	26	3	7	16	23	28	34	38	41
.	26	1	69953	292484	418919	739541	1720137	4754321	11944255
.	27	3	7	16	23	28	34	38	41
.	27	1	81809	305848	444286	768999	1773850	4843302	11934938
.	28	3	7	16	23	28	34	38	41
.	28	1	82321	293162	435462	749811	1753599	4891114	11925048
.	29	3	7	16	23	28	34	38	41
.	29	1	81037	274414	417419	725381	1719784	4852510	11914586
.	30	3	7	16	23	28	34	38	41
.	30	1	85908	270432	417327	725666	1725687	4862054	11904378
.	31	3	7	16	23	28	34	38	41
.	31	1	93618	273512	427416	741376	1755785	4918452	11894082
.	32	3	7	16	23	28	34	38	41
.	32	1	102209	286302	448337	771571	1805054	4994323	11884043
.	33	3	7	16	23	28	34	38	41
.	33	1	99631	274879	438794	764076	1812567	5044220	11872001
.	34	3	7	16	23	28	34	38	41
.	34	1	103358	268474	434494	758446	1813833	5068808	11861564
.	35	3	7	16	23	28	34	38	41
.	35	1	110836	277042	452241	782910	1852099	5151422	11852059
.	36	3	7	16	23	28	34	38	41
.	36	1	103431	263231	439706	768909	1846463	5172070	11843925
.	37	3	7	16	23	28	34	38	41
.	37	1	102065	260912	444149	777805	1874921	5235681	11834573
.	38	3	7	16	23	28	34	38	41
.	38	1	102821	261783	455108	802568	1921174	5423908	11824831
.	39	3	7	16	23	28	34	38	41
.	39	1	98557	255148	452628	796387	1922686	5475349	11816264
.	40	3	7	16	23	28	34	38	41
.	40	1	105361	267728	475903	837150	2021244	5708783	11807052
.	41	3	7	16	23	28	34	38	41
