.	0	2	4	5	6	7	8	9	10	11	12	13	14	15	16	17	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	0	760694	783617	1485449	1600097	1662316	1971976	2034444	2445582	2508624	2539770	3109145	3141712	3174655	3241687	3807595	3841661	9006619	9290988	11840973	14379434	17584568	18283898	18641549	18712479	19209942	19996643	20793620	22795440	23471373	34368792	34916488	35931130	37064566	37710799	37732732	37751977	37879391	
.	1	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	1	1292	776830	782998	816730	1567549	1689801	1768116	2077401	2161404	2581077	2668284	2717394	3289443	3340626	3391188	3481160	4060111	4067663	4116020	9108553	9403393	11915032	14465249	17616916	18383192	18771238	18864296	19437489	20313254	21113435	23001331	23687412	34432642	34986852	36006853	37076644	37740087	37759243	37775879	37879391	
.	2	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	2	2459	9214	19932	43265	769082	1658746	1739279	1792077	3775887	4298419	4355766	4380541	5032887	5089129	5108004	5194859	5841829	5855468	5942830	9084850	9472163	14554699	16858657	17981170	17989776	18075828	18812171	19388388	20088123	20094653	20661042	31151610	32828754	35252075	36459485	37159074	37759070	37776021	37790493	37879391	
.	3	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	3	3394	12446	26750	79406	491464	1032093	1123557	2229932	2501500	2934960	3400439	3500108	4025063	4086603	4146101	4168810	4223917	4851095	4904971	9114388	9489873	13333512	17116924	18555750	18603661	18614905	18825745	19516414	19525790	20498541	20830832	21863205	34042164	34964472	36074775	37137520	37777145	37791829	37804183	37879391	
.	4	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	4	4468	16183	1450557	1477005	1711008	1813446	2793940	2945255	3391763	3472547	4066268	4183532	4782662	4855548	4884865	5031633	5140227	5884345	5991201	10959912	11338942	14817173	17091556	19316632	19379586	19393293	19495050	20201153	20937812	21430941	22714747	23350350	23698264	33392982	34373985	36494857	37793512	37806202	37817200	37879391	
.	5	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	5	5400	577537	598449	629312	954752	1880619	2370053	2847351	3063707	3690066	3789866	3883547	4179487	4885673	5018019	5098091	5226826	5455405	6082345	9643943	9820530	12351375	16261797	19891776	19908275	20245491	20259823	20602827	20825494	20955194	30528319	31405017	33118525	35044578	36579771	37216712	37811300	37821802	37830654	37879391	
