.	0	0	2	10	16	19	22	23	25	26	27	28	30	31	33	34
.	0	5726942	50897586	106615781	162540329	162873272	164608663	184363026	260851397	289604631	311827150	452561980	620808242	1038520111	1362591642	1572984495
.	1	0	2	10	16	19	22	23	25	26	27	28	30	31	33	34
.	1	9532963	51976520	96635108	145027167	145461997	148610729	167190515	208252097	240747149	271453040	332598623	474292066	972789484	1236406188	1572984495
.	2	0	2	10	16	19	22	23	25	26	27	28	30	31	33	34
.	2	17831088	61713292	126196998	177281676	177547580	183645285	203357202	235752216	270981925	311070889	355984833	470194432	972464097	1160006931	1572984495
.	3	0	2	10	16	19	22	25	26	27	28	30	31	32	33	35	37
.	3	29093652	82285599	204975608	215688430	407846622	411466227	429648405	443978989	444580364	519045282	548680875	549009850	634441462	719370461	1052212927	1572984495
.	4	0	2	10	16	19	22	25	26	27	28	30	31	32	33	35	37
.	4	24647986	86436916	162365993	176249645	307459976	312104734	334928367	352675523	353473405	471690164	506839762	507296548	609434702	701913006	1043811169	1572984495
.	5	0	2	6	8	10	11	14	15	16	17	18	19	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
.	5	24499392	92274746	92342106	107826419	152064661	162228332	162243389	174880760	179127467	225305413	230793301	235011876	236017423	236430689	244772416	244868787	268790053	283639840	287239762	350589923	356698892	393968585	424139683	538907447	645917073	645917443	994553959	1023413110	1572984495
.	6	0	2	5	6	8	9	10	11	12	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
.	6	24616080	98073925	98129686	98197922	110389695	110389858	153152729	163843859	163864487	163882354	171892070	175665651	213936409	219666972	223961541	223982024	224918571	225364059	232799548	232848027	256806427	272988626	279096379	321276443	327504645	366620387	384516000	467112753	556014161	556015138	967951731	1001393772	1572984495
.	7	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
.	7	22839247	101814132	101908129	101975366	101982091	112856846	112857142	155959761	167262764	167291393	167292463	167309015	174086676	177645894	214928435	220902192	226063504	226099482	227075507	227641368	235273837	235299434	259581285	277650403	287074469	320673098	328298425	369728950	382799689	459101910	541886083	541887082	928006299	967231658	1572984495
.	8	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	37	38	39
.	8	23093457	106129213	106223472	106292749	106323393	115297305	115300286	157053760	169168171	169206730	169213819	169232769	174792902	178055527	214329844	220519667	226082941	226163997	227068697	227739448	234964976	235011137	258844179	265758195	291683570	317780062	326604581	367913852	376099583	444259155	486708157	534632122	663634549	879102773	953050853	1572984495
.	9	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
.	9	23273064	110137078	110234144	110286205	110337519	118226663	118284469	159364638	173788296	173836584	173843037	173858519	178552150	181419774	215923324	222245892	228730098	228827829	229650649	230253291	237728073	237821557	261952341	268486552	302893593	320336402	330123904	372570637	379195893	447351808	492242001	537311119	667175724	667176448	877683528	961997067	1572984495
.	10	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
.	10	23113870	113582197	113668720	113712933	113791501	121271839	121421504	161154705	174903353	174953897	174963067	174979412	179653193	182335757	216306326	222535489	228810601	228904980	229681618	230216510	237553451	237718368	261412657	267785802	309634135	318641128	328294905	370246851	376663798	443672306	488018322	532577269	660869886	660878216	868230285	953860445	1572984495
.	11	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
.	11	23014561	116818987	116896821	116941631	117038422	124596032	124830352	164174277	176700081	176754517	176763157	176787223	181352341	184330020	217741142	224229942	230103813	230184739	231041219	231598154	239130275	239360553	262759131	269308872	317037374	319624387	329245722	371202951	377834477	444731624	488452078	533156210	661178220	661208756	868314796	953870659	1572984495
.	12	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
.	12	23110984	120093493	120179726	120232545	120368646	128822806	129114119	169062059	180828436	180888013	180906270	180933958	185755409	189134683	221540078	228379072	234143598	234224050	235220627	235828640	243886946	244219667	268050651	275010273	323362686	324911134	334731489	377870644	384789793	451725786	495747108	539998283	669258481	669301492	876313436	964110432	1572984495
.	13	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	13	23127821	123128648	123235907	123309571	123470279	131934946	132334607	171261117	182547088	182620800	182642827	182679651	183257685	189450585	222609873	229544742	235282545	235368422	236405586	237040988	240275894	245593518	269308680	276371567	324391932	325913098	335743205	358265918	383694432	438979751	484965189	533523048	558098601	642239278	711562486	880683389	987452412	1216581402	1572984495
.	14	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	14	22998353	126160088	126273080	126367801	126549538	135021275	135593024	173969842	185060357	185150632	185178423	185225095	185925558	192267303	224397442	231492427	237240572	237358052	238431260	239101222	242492969	248112956	271752028	279110432	326295168	327935659	337784934	360758381	386499454	440876999	487338469	535385344	560287867	644400716	713736175	883755272	990417776	1220290220	1572984495
.	15	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	15	23045209	129189907	129313767	129421317	129632818	138360611	139134072	177137632	188050661	188147447	188190652	188247382	189114245	195739656	227301980	234430157	240267813	240383368	241547305	242289315	245944858	251899026	275738158	283330573	330138686	331877427	341885491	365653349	391823702	445776529	493049329	540789565	566322046	650758801	720034253	890988446	997230542	1227999480	1572984495
.	16	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	16	23323457	132314452	132442397	132567258	132808426	141480751	142526871	180128050	191524425	191634254	191687558	191759974	192797726	199420952	230592659	237704418	243814948	243942602	245160559	245904689	249645443	256068066	279985173	287378338	334221330	335921829	346136968	370619917	396752149	450594082	498337633	546236862	572323125	656957912	727459157	899081891	1005545033	1236392018	1572984495
.	17	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	17	23289480	135132117	135259920	135408033	135697608	144386535	145804037	182533438	193679338	193803360	193872189	193962023	195191387	201892743	232724675	239847556	246009266	246147044	247415236	248179422	252075576	259045018	282765157	290148402	336792774	338497023	348858731	374081489	400162986	454061479	502192106	550421380	577863690	662633694	733247922	905802490	1012341429	1243117441	1572984495
.	18	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	18	23052277	137829221	137959771	138141444	138467178	147632284	149453670	185923032	196733461	196874009	196956303	197057124	198475591	204425463	207948854	242900202	249108718	249259810	250614980	251420016	255674034	263268169	286860950	294405219	340309996	342106557	352548868	378775746	405060852	458203466	490067260	554020102	582387158	653772760	724803398	867157846	998831151	1239241212	1572984495
.	19	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	19	23298295	140848671	140984593	141206840	141599927	151138092	153523595	189469221	199660867	199824114	199927275	200050583	201734046	208294708	212810943	245696248	252012873	252191277	253688808	254538911	259110281	267586772	290922223	298661496	344054223	345989677	356565075	383915479	410499556	463112504	495442917	559697471	588722917	660569170	732418944	876006568	1009700992	1248728014	1572984495
.	20	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	20	23401144	143700659	143841341	144109066	144582641	154579247	157681418	192647754	202314844	202501626	202638003	202790463	204775043	212040798	217741622	248253502	254566289	254775300	256389077	257283766	262339347	271699685	294687222	302599900	347087087	349117588	359706934	388428486	415176231	466963987	499677220	564105001	593976618	666045109	738804355	883939063	1019663571	1256368074	1572984495
.	21	0	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
.	21	23436505	146492560	146650465	146956056	147487228	157804189	161768833	195762175	204627390	204848580	205008115	205188869	207506378	215456929	222299756	250133404	256531434	256794280	258539493	259517688	264901205	275545029	298014339	306001546	349441308	351515355	362252215	392492563	419384346	470081958	503251112	567979834	598796434	671267226	744684168	891329255	1029075290	1264366286	1572984495
