.	0	2	11	27	32	37	
.	0	2175401	6096942	22352258	482044329	482044740	
.	1	2	11	27	32	37	
.	1	164808	3496874	17989603	480549690	482044740	
.	2	2	11	27	32	37	
.	2	38440	3392094	14503829	45533339	482044740	
.	3	2	11	27	32	37	
.	3	64378	2190138	9209227	25489481	482044740	
.	4	2	11	27	32	37	
.	4	13802	1761493	7194542	19687443	482044740	
.	5	2	11	27	32	37	42	
.	5	14514	1060265	5398904	15428610	43494137	482044740	
.	6	2	11	27	32	37	42	
.	6	1370	983827	4990096	14034810	37148631	482044740	
.	7	11	22	27	32	37	42	
.	7	995596	998761	4913359	13592530	35186615	482044740	
.	8	11	22	27	32	37	42	
.	8	904428	915018	4618849	12933025	33507067	482044740	
.	9	2	11	22	27	32	37	42	
.	9	2040	847809	868030	4434533	12495970	32287181	482044740	
.	10	2	11	22	27	32	37	42	
.	10	8	824389	855745	4413317	12443117	31827098	482044740	
.	11	11	22	27	32	37	42	
.	11	848036	888386	4464435	12485823	31871999	482044740	
.	12	11	22	27	32	37	42	
.	12	825338	871489	4424455	12422891	31641325	482044740	
.	13	2	7	11	22	27	32	37	42	
.	13	2354	2433	835094	889881	4443244	12415410	31681604	482044740	
.	14	2	7	11	22	27	32	37	42	
.	14	534	669	851034	914104	4473520	12401803	31598639	482044740	
.	15	7	11	22	27	32	37	42	
.	15	355	852879	930875	4500178	12465422	31692292	482044740	
.	16	2	7	11	22	27	32	37	42	
.	16	157	749	869158	958979	4551421	12545519	31932991	482044740	
.	17	2	7	11	22	27	32	37	42	
.	17	74	1058	866990	979595	4560223	12545122	31873065	482044740	
.	18	2	7	11	22	27	32	37	42	
.	18	206	1962	884025	1028965	4619166	12606650	31953940	482044740	
.	19	7	11	22	27	32	37	42	
.	19	3050	896227	1096112	4699292	12734087	32050744	482044740	
.	20	2	7	11	22	27	32	37	42	
.	20	2474	8612	955654	1272203	4894893	13025700	32550243	482044740	
.	21	2	7	11	22	27	32	37	42	
.	21	2981	15394	964237	1510815	5011410	13065564	32415772	482044740	
.	22	2	7	11	22	27	32	37	42	
.	22	85	21673	1009263	1879941	5283529	13407881	32771019	482044740	
.	23	2	7	11	22	27	32	37	42	
.	23	4181	41245	1100330	2495163	5768610	14031537	33480859	482044740	
.	24	2	7	11	22	27	32	37	42	
.	24	9561	54693	1159798	2767991	5958654	14188053	33760766	482044740	
.	25	2	7	11	22	27	32	37	42	
.	25	1350	90917	1846185	3827913	6866487	14909050	34100928	482044740	
.	26	2	7	11	22	27	32	37	42	
.	26	1387	109810	1978283	4321722	7255254	15368925	34521678	482044740	
.	27	2	7	11	22	27	32	37	42	
.	27	10069	131462	2091136	4599324	7532050	15710763	34917500	482044740	
.	28	2	7	11	22	27	32	37	42	
.	28	3772	134784	2210398	4852837	7816768	16133036	35597546	482044740	
.	29	2	7	11	22	27	32	37	42	
.	29	10579	146918	2244559	4903996	7886140	16229731	35776254	482044740	
.	30	2	7	11	22	27	32	37	42	
.	30	1882	144469	2293610	4977094	7969818	16327013	35830226	482044740	
.	31	2	7	11	22	27	32	37	42	
.	31	14573	164968	2358763	5072416	8073184	16435632	35994114	482044740	
.	32	2	7	11	22	27	32	37	42	
.	32	9343	169959	2459445	5259160	8311554	16844059	36740752	482044740	
.	33	2	7	11	22	27	32	37	42	
.	33	3116	174235	2590353	5423772	8461377	16949959	36770864	482044740	
.	34	2	7	11	22	27	32	37	42	
.	34	4517	178942	2532978	5425159	8506498	17029435	36873542	482044740	
.	35	2	7	11	22	27	32	37	42	
.	35	8385	190334	2585452	5472757	8512772	17076027	37056697	482044740	
.	36	2	7	11	22	27	32	37	42	
.	36	30423	221765	2701070	5660344	8725043	17379883	37532899	482044740	
.	37	2	7	11	22	27	32	37	42	
.	37	4509	215001	2968270	6024042	9143445	17902974	38230296	482044740	
.	38	2	7	11	22	27	32	37	42	
.	38	10797	217005	2791038	5993252	9115917	17874693	38190680	482044740	
.	39	2	7	11	22	27	32	37	42	
.	39	10885	226211	2860912	5939835	9062664	17848986	38373868	482044740	
.	40	2	7	11	22	27	32	37	42	
.	40	8226	232468	2904362	5999623	9170231	17947486	38444509	482044740	
.	41	2	7	11	22	27	32	37	42	
.	41	11937	250157	3077404	6268761	9532000	18425300	39138029	482044740	
.	42	2	7	11	22	27	32	37	42	
.	42	4252	244910	3093089	6263004	9587929	18453579	39314161	482044740	
.	43	2	7	11	22	27	32	37	42	
.	43	10420	258752	3509206	6850057	10342557	19181165	40021763	482044740	
.	44	2	7	11	22	27	32	37	42	
.	44	12689	268419	3268277	6516231	10082340	19005538	40427548	482044740	
.	45	2	7	11	22	27	32	37	42	
.	45	6266	269945	3313827	6537915	10186038	18956352	40275348	482044740	
.	46	2	7	11	22	27	32	37	42	
.	46	19321	293383	3450725	6747953	10472577	19333849	40785026	482044740	
.	47	2	7	11	22	27	32	37	42	
.	47	4836	286888	3503115	6831093	10597198	19473817	41053423	482044740	
.	48	2	7	11	22	27	32	37	42	
.	48	2026	292466	3562037	6916295	10711227	19627071	41243725	482044740	
.	49	2	7	11	22	27	32	37	42	
.	49	2742	301954	3592369	6977911	10801462	19789856	41617082	482044740	
.	50	2	7	11	22	27	32	37	42	
.	50	5724	312033	3647044	7051780	10881111	19877678	41723886	482044740	
.	51	2	7	11	22	27	32	37	42	
.	51	6474	325168	3713865	7154344	10988447	20000438	41867213	482044740	
.	52	2	7	11	22	27	32	37	42	
.	52	9706	340593	3814705	7341730	11211730	20379986	42518750	482044740	
.	53	2	7	11	22	27	32	37	42	
.	53	4608	356427	3947449	7565199	11471541	20722909	43021318	482044740	
.	54	2	7	11	22	27	32	37	42	
.	54	8129	368916	3950151	7546279	11459651	20741662	43227005	482044740	
.	55	2	7	11	22	27	32	37	42	
.	55	421	391296	4423085	8297309	12417870	21891815	44591869	482044740	
.	56	2	7	11	22	27	32	37	42	
.	56	12434	400408	4362782	8352983	12491698	22055173	45097074	482044740	
.	57	2	7	11	22	27	32	37	42	
.	57	9650	399804	4248642	8369254	12381908	21988509	45312738	482044740	
.	58	2	7	11	22	27	32	37	42	
.	58	8419	410124	4361643	8408913	12460705	22153533	45571419	482044740	
.	59	2	7	11	22	27	32	37	42	
.	59	3469	414029	4360750	8353426	12384786	22014190	45268267	482044740	
.	60	2	7	11	22	27	32	37	42	
.	60	9744	437071	4556414	8575631	12631189	22352235	45661690	482044740	
.	61	2	7	11	22	27	32	37	42	
.	61	2567	436709	4570114	8643000	12736425	22562880	46031905	482044740	
.	62	2	7	11	22	27	32	37	42	
.	62	6188	448518	4587903	8553921	12636851	22399259	45934494	482044740	
.	63	2	7	11	22	27	32	37	42	
.	63	4522	470561	4946612	9037186	13179343	23103452	46888136	482044740	
.	64	2	7	11	22	27	32	37	42	
.	64	183	465173	4830224	9098158	13294749	23346782	47342485	482044740	
.	65	2	7	11	22	27	32	37	42	
.	65	11715	481831	4824688	8856108	13023967	22990561	47046079	482044740	
.	66	2	7	11	22	27	32	37	42	
.	66	2580	484025	4930334	8959958	13140073	23130988	47054257	482044740	
.	67	2	7	11	22	27	32	37	42	
.	67	304	493010	5070804	9121641	13339074	23421221	47470958	482044740	
.	68	2	7	11	22	27	32	37	42	
.	68	9702	513643	5211389	9238606	13467843	23582481	47714262	482044740	
